0.01  7.17362	-1.71728
0.17728	6.76134	-1.40355
0.17752	6.76384	-1.40416
0.17776	6.76634	-1.39439
0.178	6.76884	-1.38768
0.17824	6.77134	-1.38737
0.17848	6.77384	-1.3773
0.17872	6.77633	-1.36876
0.17896	6.77883	-1.35838
0.1792	6.78133	-1.34678
0.17944	6.78383	-1.34861
0.17968	6.78633	-1.35594
0.17992	6.78883	-1.36692
0.18016	6.79133	-1.37822
0.1804	6.79382	-1.38615
0.18064	6.79632	-1.38401
0.18088	6.79882	-1.38371
0.18112	6.80132	-1.38035
0.18136	6.80382	-1.38188
0.1816	6.80632	-1.38157
0.18184	6.80882	-1.38371
0.18208	6.81132	-1.39012
0.18232	6.81381	-1.37211
0.18256	6.81631	-1.35685
0.1828	6.81881	-1.34678
0.18304	6.82131	-1.34342
0.18328	6.82381	-1.34709
0.18352	6.82631	-1.34861
0.18376	6.82881	-1.35197
0.184	6.8313	-1.3419
0.18424	6.8338	-1.34037
0.18448	6.8363	-1.34465
0.18472	6.8388	-1.34556
0.18496	6.8413	-1.35685
0.1852	6.8438	-1.36876
0.18544	6.8463	-1.37608
0.18568	6.8488	-1.37303
0.18592	6.85129	-1.35533
0.18616	6.85379	-1.35411
0.1864	6.85629	-1.36357
0.18664	6.85879	-1.3773
0.18688	6.86129	-1.3834
0.18712	6.86379	-1.37577
0.18736	6.86629	-1.37883
0.1876	6.86878	-1.36113
0.18784	6.87128	-1.33885
0.18808	6.87378	-1.32908
0.18832	6.87628	-1.34281
0.18856	6.87878	-1.35044
0.1888	6.88128	-1.34098
0.18904	6.88378	-1.33793
0.18928	6.88628	-1.33702
0.18952	6.88877	-1.34831
0.18976	6.89127	-1.36448
0.19	6.89377	-1.35655
0.19024	6.89627	-1.348
0.19048	6.89877	-1.33183
0.19072	6.90127	-1.32359
0.19096	6.90377	-1.32115
0.1912	6.90627	-1.33305
0.19144	6.90876	-1.33824
0.19168	6.91126	-1.32206
0.19192	6.91376	-1.29643
0.19216	6.91626	-1.28056
0.1924	6.91876	-1.25645
0.19264	6.92126	-1.24241
0.19288	6.92376	-1.24973
0.19312	6.92625	-1.25645
0.19336	6.92875	-1.2595
0.1936	6.93125	-1.25797
0.19384	6.93375	-1.25584
0.19408	6.93625	-1.24912
0.19432	6.93875	-1.23783
0.19456	6.94125	-1.22868
0.1948	6.94375	-1.23386
0.19504	6.94624	-1.2299
0.19528	6.94874	-1.20975
0.19552	6.95124	-1.18961
0.19576	6.95374	-1.19541
0.196	6.95624	-1.2125
0.19624	6.95874	-1.22288
0.19648	6.96124	-1.2183
0.19672	6.96374	-1.22684
0.19696	6.96623	-1.22532
0.1972	6.96873	-1.2186
0.19744	6.97123	-1.21281
0.19768	6.97373	-1.21433
0.19792	6.97623	-1.21067
0.19816	6.97873	-1.19755
0.1984	6.98123	-1.189
0.19864	6.98372	-1.189
0.19888	6.98622	-1.20365
0.19912	6.98872	-1.21036
0.19936	6.99122	-1.19938
0.1996	6.99372	-1.19358
0.19984	6.99622	-1.19236
0.20008	6.99872	-1.18442
0.20032	7.00122	-1.16214
0.20056	7.00371	-1.16031
0.2008	7.00621	-1.17252
0.20104	7.00871	-1.17374
0.20128	7.01121	-1.17191
0.20152	7.01371	-1.16855
0.20176	7.01621	-1.16428
0.202	7.01871	-1.16794
0.20224	7.0212	-1.17985
0.20248	7.0237	-1.17801
0.20272	7.0262	-1.1655
0.20296	7.0287	-1.17496
0.2032	7.0312	-1.17161
0.20344	7.0337	-1.16276
0.20368	7.0362	-1.15879
0.20392	7.0387	-1.16886
0.20416	7.04119	-1.18686
0.2044	7.04369	-1.19144
0.20464	7.04619	-1.18351
0.20488	7.04869	-1.18107
0.20512	7.05119	-1.18198
0.20536	7.05369	-1.19419
0.2056	7.05619	-1.19968
0.20584	7.05869	-1.19114
0.20608	7.06118	-1.18412
0.20632	7.06368	-1.18046
0.20656	7.06618	-1.18046
0.2068	7.06868	-1.17252
0.20704	7.07118	-1.16398
0.20728	7.07368	-1.16367
0.20752	7.07618	-1.16184
0.20776	7.07867	-1.15513
0.208	7.08117	-1.15543
0.20824	7.08367	-1.15452
0.20848	7.08617	-1.15024
0.20872	7.08867	-1.15635
0.20896	7.09117	-1.16672
0.2092	7.09367	-1.17954
0.20944	7.09617	-1.18351
0.20968	7.09866	-1.18259
0.20992	7.10116	-1.17771
0.21016	7.10366	-1.19144
0.2104	7.10616	-1.19419
0.21064	7.10866	-1.19663
0.21088	7.11116	-1.18137
0.21112	7.11366	-1.16855
0.21136	7.11616	-1.16276
0.2116	7.11865	-1.16001
0.21184	7.12115	-1.17038
0.21208	7.12365	-1.19297
0.21232	7.12615	-1.18625
0.21256	7.12865	-1.17801
0.2128	7.13115	-1.17679
0.21304	7.13365	-1.17588
0.21328	7.13614	-1.16459
0.21352	7.13864	-1.16184
0.21376	7.14114	-1.171
0.214	7.14364	-1.17618
0.21424	7.14614	-1.1774
0.21448	7.14864	-1.19236
0.21472	7.15114	-1.19388
0.21496	7.15364	-1.18137
0.2152	7.15613	-1.17283
0.21544	7.15863	-1.18534
0.21568	7.16113	-1.18259
0.21592	7.16363	-1.15207
0.21616	7.16613	-1.14078
0.2164	7.16863	-1.13224
0.21664	7.17113	-1.11728
0.21688	7.17362	-1.11698
0.21712	7.17612	-1.13529
0.21736	7.17862	-1.15909
0.2176	7.18112	-1.15421
0.21784	7.18362	-1.13742
0.21808	7.18612	-1.12613
0.21832	7.18862	-1.13468
0.21856	7.19112	-1.15146
0.2188	7.19361	-1.14994
0.21904	7.19611	-1.14139
0.21928	7.19861	-1.13407
0.21952	7.20111	-1.13315
0.21976	7.20361	-1.13437
0.22	7.20611	-1.13346
0.22024	7.20861	-1.13865
0.22048	7.21111	-1.14444
0.22072	7.2136	-1.14048
0.22096	7.2161	-1.13681
